EVM0000006	AT1G44760
EVM0000010	AT1G20460
EVM0000011	AT1G03475
EVM0000013	AT2G40190
EVM0000016	AT1G63020
EVM0000018	AT2G20540
EVM0000019	AT1G27770
EVM0000024	AT3G11760
EVM0000026	AT3G26890
EVM0000027	AT2G03060
EVM0000029	AT2G22250
EVM0000031	AT1G30130
EVM0000033	AT4G17760
EVM0000040	AT3G25770
EVM0000048	AT2G16050
EVM0000049	AT3G53960
EVM0000050	AT5G10070
EVM0000052	AT3G16980
EVM0000058	ATCG00430
EVM0000059	AT1G18100
EVM0000060	AT5G27290
EVM0000063	AT1G16870
EVM0000064	AT3G05520
EVM0000065	AT4G14930
EVM0000067	AT2G38650
EVM0000070	AT2G18110
EVM0000071	AT5G11720
EVM0000075	AT2G20520
EVM0000078	AT1G12050
EVM0000081	AT2G33540
EVM0000083	AT2G39870
EVM0000084	AT4G17650
EVM0000087	AT1G77700
EVM0000088	AT2G36780
EVM0000090	AT3G44730
EVM0000104	AT3G11710
EVM0000109	AT5G64460
EVM0000110	AT5G59500
EVM0000111	AT1G80560
EVM0000114	AT1G42430
EVM0000121	AT5G13640
EVM0000123	ATCG01080
EVM0000126	AT5G51600
EVM0000134	AT3G24570
EVM0000135	AT5G19180
EVM0000138	AT5G27680
EVM0000140	AT4G26160
EVM0000142	AT4G01000
EVM0000147	AT4G20330
EVM0000148	AT4G39110
EVM0000149	AT1G61340
EVM0000156	AT1G80480
EVM0000157	AT2G46000
EVM0000160	AT3G10980
EVM0000162	AT3G05850
EVM0000173	AT2G44980
EVM0000174	AT1G11125
EVM0000175	AT5G44710
EVM0000176	AT1G17100
EVM0000180	AT4G28890
EVM0000185	AT4G18520
EVM0000187	AT1G18670
EVM0000199	AT1G73170
EVM0000202	AT3G52210
EVM0000204	AT4G03150
EVM0000206	AT3G60320
EVM0000208	AT3G45050
EVM0000218	AT5G22350
EVM0000220	AT5G40850
EVM0000221	AT4G34910
EVM0000223	AT2G30150
EVM0000224	AT1G22030
EVM0000225	AT1G67040
EVM0000226	AT1G04220
EVM0000227	AT4G00440
EVM0000230	AT5G51050
EVM0000234	AT2G27680
EVM0000235	ATCG00350
EVM0000237	AT2G19540
EVM0000240	AT3G13120
EVM0000242	AT5G56840
EVM0000245	AT1G20270
EVM0000247	AT5G39785
EVM0000248	AT4G03090
EVM0000251	AT4G22140
EVM0000253	AT4G23160
EVM0000255	AT1G51100
EVM0000261	AT3G09600
EVM0000262	AT5G05130
EVM0000265	AT1G27100
EVM0000271	AT2G33990
EVM0000273	AT5G64240
EVM0000274	AT2G02240
EVM0000277	AT2G41540
EVM0000282	AT1G06690
EVM0000283	AT5G66120
EVM0000285	AT4G33540
EVM0000286	AT1G08360
EVM0000289	AT5G55470
EVM0000292	AT1G67710
EVM0000299	AT3G55800
EVM0000303	AT3G01750
EVM0000304	AT4G03140
EVM0000306	AT4G28910
EVM0000307	AT1G79440
EVM0000313	AT5G51670
EVM0000314	AT2G25810
EVM0000319	AT5G57510
EVM0000320	AT2G36720
EVM0000321	AT5G26594
EVM0000322	AT3G06880
EVM0000323	AT5G16810
EVM0000330	AT5G07830
EVM0000336	AT2G39470
EVM0000337	AT5G56590
EVM0000338	AT5G60450
EVM0000341	AT3G58810
EVM0000342	AT5G18800
EVM0000343	AT4G15563
EVM0000345	AT5G12930
EVM0000346	AT5G59200
EVM0000348	AT3G19420
EVM0000352	AT3G59510
EVM0000357	AT4G31890
EVM0000359	AT5G65840
EVM0000367	AT1G10650
EVM0000368	AT3G14750
EVM0000373	AT4G08150
