EVM0001809	LOC-Os04g16970
EVM0002265	LOC-Os02g39600
EVM0028248	LOC-Os08g32870
EVM0028224	LOC-Os02g02860
EVM0020256	LOC-Os02g47570
EVM0003118	LOC-Os03g43850
EVM0020906	LOC-Os01g62244
EVM0035573	LOC-Os07g33630
EVM0024070	LOC-Os09g36090
EVM0033809	LOC-Os12g07220
EVM0001734	LOC-Os02g44104
EVM0003133	LOC-Os04g58210
EVM0002325	LOC-Os08g41300
EVM0027747	LOC-Os02g50550
EVM0020180	LOC-Os02g10080
EVM0009090	LOC-Os01g48790
EVM0002542	LOC-Os05g47550
EVM0035546	LOC-Os02g51430
EVM0017357	LOC-Os11g45250
EVM0024207	LOC-Os05g38370
EVM0021852	LOC-Os03g04710
EVM0026832	LOC-Os03g55670
EVM0015550	LOC-Os02g12760
EVM0004214	LOC-Os02g04050
EVM0003708	LOC-Os03g48040
EVM0000279	LOC-Os07g27580
EVM0023106	LOC-Os08g03670
EVM0027854	LOC-Os01g46510
EVM0014482	LOC-Os11g41130
EVM0018402	LOC-Os02g56280
EVM0006256	LOC-Os07g08140
EVM0025314	LOC-Os07g39840
EVM0016944	LOC-Os06g50050
EVM0009043	LOC-Os08g12430
EVM0018314	LOC-Os01g61044
EVM0000884	LOC-Os02g34680
EVM0004153	LOC-Os08g08200
EVM0008534	LOC-Os01g27490
EVM0031396	LOC-Os03g19870
EVM0009859	LOC-Os02g56540
EVM0035220	LOC-Os03g08480
EVM0006622	LOC-Os04g14760
EVM0019682	LOC-Os02g50270
EVM0020486	LOC-Os12g24170
EVM0025075	LOC-Os03g60460
EVM0034776	LOC-Os03g26030
EVM0016535	LOC-Os02g46956
EVM0027220	LOC-Os01g42630
EVM0033863	LOC-Os01g39134
EVM0026645	LOC-Os06g06410
EVM0016335	LOC-Os02g49190
EVM0006678	LOC-Os02g39790
EVM0035924	LOC-Os02g20970
EVM0035755	LOC-Os02g45110
EVM0006685	LOC-Os07g37640
EVM0036302	LOC-Os10g28610
EVM0001280	LOC-Os01g23630
EVM0035736	LOC-Os06g13000
EVM0002878	LOC-Os03g52120
EVM0008240	LOC-Os08g16480
