EVM0021012	GRMZM5G894156
EVM0016709	GRMZM2G104704
EVM0025922	GRMZM2G078508
EVM0006655	GRMZM2G084176
EVM0017665	GRMZM2G102838
EVM0003087	GRMZM2G051327
EVM0030549	GRMZM2G060000
EVM0018326	GRMZM2G053261
EVM0037033	GRMZM2G132774
EVM0008085	GRMZM2G160927
EVM0017284	GRMZM2G052821
EVM0036049	GRMZM5G868908
EVM0001950	GRMZM2G089976
EVM0008354	GRMZM2G018695
EVM0005628	GRMZM2G153075
EVM0006912	GRMZM2G179810
EVM0028334	GRMZM2G481069
EVM0008119	GRMZM5G848692
EVM0018654	GRMZM2G045280
EVM0024620	GRMZM2G026523
EVM0010085	GRMZM2G473788
EVM0012577	GRMZM2G139931
EVM0028141	GRMZM2G043331
EVM0027948	GRMZM2G061663
EVM0019007	GRMZM2G072462
EVM0028376	GRMZM2G055052
EVM0031376	GRMZM2G155341
EVM0028536	GRMZM2G464401
EVM0037126	GRMZM2G130987
EVM0020215	GRMZM2G064594
EVM0031225	GRMZM2G084940
EVM0021578	GRMZM2G088169
EVM0036995	GRMZM2G112548
EVM0022657	GRMZM2G333916
EVM0021010	GRMZM2G317386
EVM0028714	GRMZM2G142342
EVM0031057	GRMZM2G100478
EVM0000834	GRMZM2G060253
EVM0017268	GRMZM2G162409
EVM0001316	GRMZM2G152663
EVM0019922	GRMZM2G081144
EVM0029289	GRMZM2G046402
EVM0029585	GRMZM2G038279
EVM0006786	GRMZM2G006752
EVM0009065	GRMZM2G023163
EVM0031842	GRMZM2G077143
EVM0000140	GRMZM2G024073
EVM0026372	GRMZM2G084463
EVM0010539	GRMZM2G146786
EVM0012755	GRMZM2G432291
EVM0029484	GRMZM2G073661
EVM0027315	GRMZM2G156422
EVM0021261	GRMZM2G087192
EVM0006678	GRMZM2G154397
EVM0014021	GRMZM2G171707
EVM0019438	GRMZM2G409974
EVM0037215	GRMZM6G868472
EVM0013988	GRMZM2G060355
EVM0019485	GRMZM2G018689
EVM0014666	GRMZM2G307561
EVM0009887	GRMZM2G055172
EVM0033383	GRMZM2G070015
EVM0004981	GRMZM2G145376
EVM0010610	GRMZM2G178227
EVM0019427	GRMZM2G090070
EVM0006405	GRMZM2G170516
EVM0019960	GRMZM2G058702
EVM0018607	GRMZM2G128012
EVM0000928	GRMZM2G013726
EVM0032145	GRMZM2G090480
